City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Trairi,BR,2022-07-01 20:01:00,-3.2778,-39.2689,80.13,77,8,8.57
1,Vicuna,CL,2022-07-01 20:04:45,-30.0319,-70.7081,63.77,34,70,5.91
2,Jiujiang,CN,2022-07-01 20:04:45,29.7333,115.9833,79.99,82,83,4.07
3,Hobart,AU,2022-07-01 20:04:45,-42.8794,147.3294,40.86,90,87,11.5
4,San Cristobal,VE,2022-07-01 20:04:46,7.7669,-72.225,78.98,60,49,5.53
5,Mataura,NZ,2022-07-01 20:04:46,-46.1927,168.8643,42.48,97,89,3.31
6,Rikitea,PF,2022-07-01 20:04:46,-23.1203,-134.9692,71.55,75,69,13.35
7,Cape Town,ZA,2022-07-01 20:04:47,-33.9258,18.4232,66.34,64,2,5.99
8,Nishihara,JP,2022-07-01 20:04:47,26.1842,127.7558,79.88,89,75,9.22
9,Severo-Kurilsk,RU,2022-07-01 20:04:47,50.6789,156.125,51.93,78,84,11.68
10,Beringovskiy,RU,2022-07-01 20:01:24,63.05,179.3167,43.88,98,100,6.4
11,East London,ZA,2022-07-01 20:00:34,-33.0153,27.9116,67.91,32,0,9.75
12,Souillac,MU,2022-07-01 20:04:48,-20.5167,57.5167,69.73,73,70,17.63
13,Carnarvon,AU,2022-07-01 20:04:48,-24.8667,113.6333,60.49,43,0,16.96
14,Dingle,PH,2022-07-01 20:04:48,10.9995,122.6711,76.98,91,100,2.89
15,Tecoanapa,MX,2022-07-01 20:04:49,16.5167,-98.75,87.06,64,56,9.71
16,Batangafo,CF,2022-07-01 20:04:49,7.3008,18.2833,70.52,95,78,4.56
17,Maneadero,MX,2022-07-01 20:04:49,31.7167,-116.5667,77.11,71,14,3.0
18,Castro,BR,2022-07-01 20:04:50,-24.7911,-50.0119,60.96,64,0,5.06
19,Denpasar,ID,2022-07-01 20:01:53,-8.65,115.2167,78.46,89,40,14.97
20,Clyde River,CA,2022-07-01 20:04:50,70.4692,-68.5914,35.73,86,100,1.77
21,Norman Wells,CA,2022-07-01 20:04:51,65.282,-126.8329,77.05,31,72,5.64
22,Vasylivka,UA,2022-07-01 20:04:51,47.4369,35.2742,69.67,57,0,10.56
23,Tazovskiy,RU,2022-07-01 20:04:51,67.4667,78.7,47.16,71,100,10.31
24,Lang Son,VN,2022-07-01 20:04:51,21.8333,106.7333,74.82,96,72,3.4
25,Abnub,EG,2022-07-01 20:04:52,27.2696,31.1511,87.75,26,0,7.65
26,Port Hardy,CA,2022-07-01 20:00:27,50.6996,-127.4199,58.95,84,87,5.64
27,Longyearbyen,SJ,2022-07-01 20:04:52,78.2186,15.6401,44.44,87,75,4.61
28,Jamestown,US,2022-07-01 20:00:50,42.097,-79.2353,87.53,48,72,10.0
29,Bonthe,SL,2022-07-01 20:04:53,7.5264,-12.505,76.26,87,100,4.85
30,Kahului,US,2022-07-01 20:04:03,20.8947,-156.47,87.82,67,40,16.11
31,Bosobolo,CD,2022-07-01 20:04:54,4.1833,19.9,70.36,97,57,3.04
32,Moose Factory,CA,2022-07-01 20:04:54,51.2585,-80.6094,68.45,27,100,13.78
33,Lebu,CL,2022-07-01 20:04:01,-37.6167,-73.65,49.75,64,72,12.26
34,Kenai,US,2022-07-01 20:04:54,60.5544,-151.2583,70.03,63,0,6.91
35,Albany,US,2022-07-01 20:01:49,42.6001,-73.9662,95.04,33,47,1.01
36,Mount Isa,AU,2022-07-01 20:04:10,-20.7333,139.5,51.57,82,100,12.66
37,Coahuayana,MX,2022-07-01 20:04:55,18.7333,-103.6833,90.91,60,40,7.36
38,Nikolskoye,RU,2022-07-01 20:04:55,59.7035,30.7861,71.49,69,96,5.19
39,Sao Filipe,CV,2022-07-01 20:04:55,14.8961,-24.4956,73.85,85,57,7.29
40,Georgetown,MY,2022-07-01 20:00:34,5.4112,100.3354,84.13,71,20,0.0
41,Venado Tuerto,AR,2022-07-01 20:04:56,-33.7456,-61.9688,58.77,64,100,4.88
42,Tuktoyaktuk,CA,2022-07-01 20:04:56,69.4541,-133.0374,56.79,62,16,5.44
43,Bluff,NZ,2022-07-01 20:04:56,-46.6,168.3333,42.8,79,99,24.29
44,Punta Arenas,CL,2022-07-01 20:03:37,-53.15,-70.9167,35.71,69,0,4.61
45,Narsaq,GL,2022-07-01 20:04:57,60.9167,-46.05,55.62,69,43,9.28
46,Thompson,CA,2022-07-01 20:05:57,55.7435,-97.8558,59.65,39,100,14.41
47,Busselton,AU,2022-07-01 20:05:58,-33.65,115.3333,48.0,78,0,5.82
48,San Patricio,US,2022-07-01 20:05:58,28.017,-97.5169,101.17,45,98,13.76
49,Te Anau,NZ,2022-07-01 20:05:58,-45.4167,167.7167,39.92,92,44,2.68
50,Sawtell,AU,2022-07-01 20:05:58,-30.3833,153.1,57.18,94,100,4.61
51,Avarua,CK,2022-07-01 20:05:59,-21.2078,-159.775,78.85,73,100,14.97
52,Finschhafen,PG,2022-07-01 20:05:59,-6.6024,147.8681,79.21,82,83,9.69
53,Nueve De Julio,AR,2022-07-01 20:05:59,-35.4444,-60.8831,55.04,68,92,5.26
54,Puerto Ayora,EC,2022-07-01 20:06:00,-0.7393,-90.3518,78.76,82,28,8.99
55,Fethiye,TR,2022-07-01 20:06:00,36.6217,29.1164,75.07,50,0,3.71
56,Emba,KZ,2022-07-01 20:06:01,48.8264,58.1442,65.07,38,0,8.66
57,Kudahuvadhoo,MV,2022-07-01 20:06:01,2.6708,72.8944,79.72,83,100,15.03
58,Marystown,CA,2022-07-01 20:06:02,47.1666,-55.1483,61.86,100,100,5.99
59,Ulaangom,MN,2022-07-01 20:06:02,49.9811,92.0667,61.86,63,68,4.47
60,Ribeira Grande,PT,2022-07-01 20:06:03,38.5167,-28.7,72.0,73,20,4.61
61,Pevek,RU,2022-07-01 20:06:03,69.7008,170.3133,34.77,99,100,5.26
62,Atuona,PF,2022-07-01 20:06:04,-9.8,-139.0333,77.36,72,6,9.22
63,Faanui,PF,2022-07-01 20:06:04,-16.4833,-151.75,78.84,69,2,20.62
64,Beloha,MG,2022-07-01 20:06:04,-25.1667,45.05,64.78,69,0,15.37
65,Ushuaia,AR,2022-07-01 20:02:21,-54.8,-68.3,30.34,93,91,6.53
66,Port Elizabeth,ZA,2022-07-01 20:06:05,-33.918,25.5701,67.35,40,0,12.86
67,Anadyr,RU,2022-07-01 20:01:24,64.75,177.4833,48.0,93,100,17.0
68,Khandbari,NP,2022-07-01 20:06:06,27.3747,87.2039,73.18,93,99,1.32
69,Airai,TL,2022-07-01 20:06:06,-8.9266,125.4092,58.66,96,67,3.18
70,Kohima,IN,2022-07-01 20:06:07,25.6667,94.1167,64.36,98,19,1.45
71,Klaksvik,FO,2022-07-01 20:06:07,62.2266,-6.589,52.72,91,100,5.57
72,Egvekinot,RU,2022-07-01 20:06:07,66.3167,-179.1667,49.59,79,100,10.33
73,Chokurdakh,RU,2022-07-01 20:06:08,70.6333,147.9167,41.25,83,100,11.18
74,Port Alfred,ZA,2022-07-01 20:06:08,-33.5906,26.891,69.06,38,0,14.56
75,Aitape,PG,2022-07-01 20:06:08,-3.1374,142.3475,78.71,86,100,7.14
76,Yulara,AU,2022-07-01 20:06:09,-25.2406,130.9889,42.93,72,0,12.71
77,Virginia Beach,US,2022-07-01 20:06:03,36.8529,-75.978,95.02,65,40,18.41
78,Ponta Do Sol,PT,2022-07-01 20:06:09,32.6667,-17.1,73.0,77,14,1.95
79,Kyabram,AU,2022-07-01 20:06:10,-36.3167,145.05,35.87,95,0,7.54
80,Saint-Philippe,RE,2022-07-01 20:06:10,-21.3585,55.7679,69.39,75,91,14.76
81,Chuy,UY,2022-07-01 20:06:10,-33.6971,-53.4616,56.62,74,49,15.21
82,Wadi Musa,JO,2022-07-01 20:06:11,30.3222,35.4793,68.74,61,0,6.71
83,Isla Mujeres,MX,2022-07-01 20:06:11,21.2311,-86.731,89.65,69,62,9.53
84,Hami,CN,2022-07-01 20:06:12,42.8,93.45,85.15,25,100,11.5
85,Grand Baie,MU,2022-07-01 20:06:12,-20.0182,57.5802,67.44,75,55,3.0
86,Sri Aman,MY,2022-07-01 20:06:13,1.2376,111.4621,74.66,88,100,1.34
87,Klyuchi,RU,2022-07-01 20:06:13,52.2667,79.1667,60.71,63,89,5.91
88,Khatanga,RU,2022-07-01 20:06:14,71.9667,102.5,49.1,65,98,13.78
89,Kachiry,KZ,2022-07-01 20:06:14,53.0675,76.1036,58.33,74,100,8.14
90,Jaru,BR,2022-07-01 20:07:14,-10.4389,-62.4664,90.61,36,16,1.81
91,Kavaratti,IN,2022-07-01 20:07:15,10.5669,72.642,82.47,82,100,19.24
92,Korla,CN,2022-07-01 20:07:15,41.7597,86.1469,79.5,28,29,15.59
93,Tasiilaq,GL,2022-07-01 20:07:16,65.6145,-37.6368,39.36,87,69,7.52
94,Kapaa,US,2022-07-01 20:07:17,22.0752,-159.319,80.92,75,100,17.27
95,Hambantota,LK,2022-07-01 20:07:17,6.1241,81.1185,80.87,80,12,19.24
96,Yerbogachen,RU,2022-07-01 20:07:17,61.2767,108.0108,60.8,74,66,5.35
97,Esna,EG,2022-07-01 20:07:18,25.2934,32.554,90.63,23,0,9.17
98,Kodiak,US,2022-07-01 20:07:18,57.79,-152.4072,54.91,88,100,13.8
99,Sao Joao Da Barra,BR,2022-07-01 20:05:49,-21.6403,-41.0511,73.49,76,0,11.21
100,Vaini,TO,2022-07-01 20:07:18,-21.2,-175.2,75.36,88,20,5.75
101,Rawson,AR,2022-07-01 20:07:19,-43.3002,-65.1023,45.34,69,95,22.7
102,Zheleznodorozhnyy,RU,2022-07-01 20:07:19,55.7503,38.0042,63.12,60,1,6.29
103,Hammerfest,NO,2022-07-01 20:07:20,70.6634,23.6821,61.25,72,0,0.0
104,Qaanaaq,GL,2022-07-01 20:07:20,77.484,-69.3632,42.55,69,63,4.56
105,Ilulissat,GL,2022-07-01 20:07:20,69.2167,-51.1,55.42,44,20,9.22
106,Casma,CL,2022-07-01 20:07:21,-41.0082,-73.1244,47.48,84,46,4.38
107,Butaritari,KI,2022-07-01 20:07:21,3.0707,172.7902,82.18,77,75,15.77
108,Portland,US,2022-07-01 20:05:26,45.5234,-122.6762,77.95,64,75,6.91
109,Port Lincoln,AU,2022-07-01 20:07:21,-34.7333,135.8667,52.66,61,100,7.81
110,Severo-Yeniseyskiy,RU,2022-07-01 20:07:22,60.3725,93.0408,49.59,80,8,4.83
111,Hithadhoo,MV,2022-07-01 20:07:22,-0.6,73.0833,81.3,75,71,7.36
112,Saint George,US,2022-07-01 20:04:15,37.1041,-113.5841,103.62,16,0,13.8
113,Barrow,US,2022-07-01 20:04:37,71.2906,-156.7887,46.42,76,0,9.22
114,Nome,US,2022-07-01 20:07:23,64.5011,-165.4064,61.16,77,100,16.11
115,Fond Du Lac,US,2022-07-01 20:02:31,43.775,-88.4388,78.82,41,0,11.5
116,Galle,LK,2022-07-01 20:07:23,6.0367,80.217,80.94,83,27,19.48
117,Pangnirtung,CA,2022-07-01 20:02:40,66.1451,-65.7125,46.85,76,90,2.8
118,Deputatskiy,RU,2022-07-01 20:07:24,69.3,139.9,46.29,77,60,0.63
119,Bambous Virieux,MU,2022-07-01 20:07:24,-20.3428,57.7575,67.21,76,97,18.41
120,Atasu,KZ,2022-07-01 20:07:24,48.6814,71.6433,58.93,40,22,7.34
121,Faya,SA,2022-07-01 20:07:25,18.3851,42.4509,70.32,49,96,3.67
122,Hilo,US,2022-07-01 20:05:05,19.7297,-155.09,81.25,77,100,6.91
123,Grand-Santi,GF,2022-07-01 20:07:25,4.25,-54.3833,83.03,67,79,5.82
124,Hermanus,ZA,2022-07-01 20:07:26,-34.4187,19.2345,61.11,64,3,7.58
125,San Policarpo,PH,2022-07-01 20:07:26,12.1791,125.5072,79.57,82,100,4.16
126,Biak,ID,2022-07-01 20:07:26,-0.9131,122.8766,75.13,87,85,0.38
127,Constitucion,CL,2022-07-01 20:07:27,-35.3333,-72.4167,51.53,78,13,10.98
128,Salalah,OM,2022-07-01 20:07:27,17.0151,54.0924,84.29,84,75,6.91
129,Itupiranga,BR,2022-07-01 20:07:28,-5.1347,-49.3267,91.72,64,80,0.92
130,Sinnamary,GF,2022-07-01 20:07:28,5.3833,-52.95,79.48,82,92,9.28
131,Arteaga,MX,2022-07-01 20:07:28,18.4667,-102.4167,83.79,52,39,2.48
132,Road Town,VG,2022-07-01 20:07:29,18.4167,-64.6167,87.89,74,40,12.66
133,Louis Trichardt,ZA,2022-07-01 20:07:29,-23.0439,29.9032,51.82,74,0,3.49
134,Banda Aceh,ID,2022-07-01 20:07:29,5.5577,95.3222,78.75,84,100,14.12
135,Tura,IN,2022-07-01 20:07:30,25.5198,90.2201,74.16,95,76,4.16
136,Waw,SS,2022-07-01 20:07:30,7.7029,27.9953,74.48,67,92,3.11
137,Iralaya,HN,2022-07-01 20:07:31,15.0,-83.2333,81.32,85,83,17.85
138,Peterhead,GB,2022-07-01 20:07:31,57.5058,-1.7981,55.8,89,100,4.72
139,Dungarpur,IN,2022-07-01 20:08:31,23.8333,73.7167,79.9,82,100,15.48
140,Kaitangata,NZ,2022-07-01 20:07:22,-46.2817,169.8464,48.18,80,84,10.38
141,Ponta Delgada,PT,2022-07-01 20:08:32,37.7333,-25.6667,70.52,78,40,10.36
142,Iquitos,PE,2022-07-01 20:08:32,-3.7481,-73.2472,86.04,66,75,3.44
143,Yellowknife,CA,2022-07-01 20:08:32,62.456,-114.3525,71.56,28,99,11.99
144,Oussouye,SN,2022-07-01 20:08:33,12.485,-16.5469,81.09,78,85,11.03
145,Tokur,RU,2022-07-01 20:08:33,53.1333,132.9,59.5,80,0,2.44
146,La Rioja,ES,2022-07-01 20:07:58,42.25,-2.5,69.58,50,0,3.56
147,Bredasdorp,ZA,2022-07-01 20:08:34,-34.5322,20.0403,59.88,58,0,4.34
148,Cherskiy,RU,2022-07-01 20:08:34,68.75,161.3,48.51,61,100,10.25
149,Hofn,IS,2022-07-01 20:08:34,64.2539,-15.2082,53.1,84,13,8.95
150,Voyinka,UA,2022-07-01 20:08:35,45.8699,33.9914,72.93,48,0,8.01
151,San Rafael,AR,2022-07-01 20:08:35,-34.6177,-68.3301,60.58,21,95,13.62
152,Gondanglegi,ID,2022-07-01 20:08:35,-7.7479,112.0132,74.62,90,35,10.33
153,Iqaluit,CA,2022-07-01 20:08:36,63.7506,-68.5145,41.7,73,58,13.8
154,Poum,NC,2022-07-01 20:08:36,-20.2333,164.0167,74.26,68,100,11.12
155,Belyy Yar,RU,2022-07-01 20:08:36,53.6039,91.3903,59.86,94,0,2.24
156,Thomastown,IE,2022-07-01 20:08:37,52.5267,-7.1372,58.42,93,85,8.95
157,Novyy Urengoy,RU,2022-07-01 20:07:17,66.0833,76.6333,50.72,61,100,10.22
158,Upernavik,GL,2022-07-01 20:08:37,72.7868,-56.1549,37.49,84,100,11.01
159,Ostrovnoy,RU,2022-07-01 20:08:38,68.0531,39.5131,45.55,96,100,7.67
160,Kasongo-Lunda,CD,2022-07-01 20:08:38,-6.4667,16.8167,71.82,36,3,1.68
161,Fayaoue,NC,2022-07-01 20:08:38,-20.65,166.5333,74.95,80,98,16.11
162,Dikson,RU,2022-07-01 20:08:39,73.5069,80.5464,33.37,93,100,6.51
163,Neustadt,DE,2022-07-01 20:08:39,49.7117,12.0872,56.97,87,0,0.0
164,Davila,PH,2022-07-01 20:08:39,18.4726,120.5763,81.79,76,100,4.68
165,Parrita,CR,2022-07-01 20:08:40,9.5201,-84.3225,79.61,80,100,2.1
166,Mahon,ES,2022-07-01 20:08:40,39.8885,4.2658,73.96,64,0,10.36
167,Gamba,GA,2022-07-01 20:08:40,-2.65,10.0,70.83,91,3,4.63
168,Razole,IN,2022-07-01 20:08:41,16.4833,81.8333,85.75,67,100,4.65
169,Vitoria Da Conquista,BR,2022-07-01 20:08:41,-14.8661,-40.8394,73.06,45,1,9.8
170,Victoria,HK,2022-07-01 20:03:46,22.2855,114.1577,80.65,88,100,21.0
171,Auki,SB,2022-07-01 20:08:41,-8.7676,160.7034,76.59,87,18,5.84
172,Uige,AO,2022-07-01 20:08:42,-7.6087,15.0613,67.82,36,4,3.76
173,Marsabit,KE,2022-07-01 20:08:42,2.3284,37.9899,64.4,63,24,20.76
174,Alekseyevsk,RU,2022-07-01 20:08:42,57.8406,108.3492,60.71,93,0,1.14
175,Charlestown,AU,2022-07-01 20:08:43,-32.95,151.6667,54.68,97,100,1.99
176,Mahebourg,MU,2022-07-01 20:08:43,-20.4081,57.7,67.24,77,88,18.28
177,Khotyn,UA,2022-07-01 20:08:43,48.4833,26.5,73.11,48,13,6.69
178,Menongue,AO,2022-07-01 20:08:44,-14.6585,17.691,58.73,43,28,3.87
179,Vila Velha,BR,2022-07-01 20:05:28,-20.3297,-40.2925,73.35,86,20,5.75
180,Leh,IN,2022-07-01 20:08:44,34.1667,77.5833,67.73,38,40,1.5
181,Camabatela,AO,2022-07-01 20:08:44,-8.1881,15.375,63.0,36,7,3.33
182,Marsa Matruh,EG,2022-07-01 20:08:45,31.3525,27.2453,77.13,81,0,7.92
183,Nabire,ID,2022-07-01 20:08:45,-3.3667,135.4833,74.73,93,80,3.83
184,Acajutla,SV,2022-07-01 20:08:45,13.5928,-89.8275,85.89,63,100,6.17
185,Novyye Burasy,RU,2022-07-01 20:08:46,52.1324,46.0714,48.97,96,81,8.5
186,Yeniseysk,RU,2022-07-01 20:09:46,58.4497,92.1703,53.67,78,60,3.44
187,Imbituba,BR,2022-07-01 20:09:46,-28.24,-48.6703,64.85,90,0,8.01
188,Shingu,JP,2022-07-01 20:09:47,33.7333,135.9833,73.18,84,47,3.78
189,Phan Thiet,VN,2022-07-01 20:09:47,10.9333,108.1,78.19,88,100,9.6
190,Areosa,PT,2022-07-01 20:09:47,41.7178,-8.8571,63.27,81,2,13.56
191,Mackay,AU,2022-07-01 20:09:48,-21.15,149.2,65.68,89,100,11.77
